contador,distancia1,distancia2,humedad,temperatura,time
1,7,37,80.36719,18.93,2025-01-05T14:39:52.668611143Z
0,7,37,80.32227,18.93,2025-01-05T14:39:59.787457397Z
1,7,37,80.30957,18.91,2025-01-05T14:40:06.994543633Z
0,7,37,80.35059,18.9,2025-01-05T14:40:14.107417582Z
1,7,37,80.36035,18.89,2025-01-05T14:40:21.226164599Z
0,7,37,80.5166,18.88,2025-01-05T14:40:28.39583913Z
1,7,37,80.55762,18.87,2025-01-05T14:40:35.511156393Z
0,7,37,80.69141,18.86,2025-01-05T14:40:42.628666175Z
1,7,37,80.78711,18.85,2025-01-05T14:40:49.76089948Z
0,7,37,80.83887,18.83,2025-01-05T14:40:56.88175832Z
1,7,37,80.74805,18.81,2025-01-05T14:41:04.030927528Z
0,7,37,80.65625,18.79,2025-01-05T14:41:11.199809868Z
1,7,37,80.71777,18.77,2025-01-05T14:41:18.366893566Z
0,7,37,80.74805,18.75,2025-01-05T14:41:25.534621866Z
1,7,37,80.70508,18.75,2025-01-05T14:41:32.651908515Z
0,7,37,80.68066,18.75,2025-01-05T14:41:39.77255549Z
1,7,37,80.78906,18.73,2025-01-05T14:41:46.885672263Z
0,7,37,80.78711,18.71,2025-01-05T14:41:54.024934284Z
1,7,37,80.875,18.71,2025-01-05T14:42:01.154055208Z
0,7,37,80.91602,18.7,2025-01-05T14:42:08.282645232Z
1,7,37,80.89453,18.7,2025-01-05T14:42:15.401231103Z
0,7,37,80.91602,18.7,2025-01-05T14:42:22.521651348Z
1,7,37,80.99121,18.68,2025-01-05T14:42:29.738575465Z
0,7,37,81.05762,18.68,2025-01-05T14:42:36.909759353Z
1,7,37,81.05762,18.67,2025-01-05T14:42:44.035591088Z
0,7,0,81.05664,18.66,2025-01-05T14:42:51.243702195Z
1,7,52,81.06543,18.66,2025-01-05T14:42:58.412220416Z
0,7,37,81.1084,18.64,2025-01-05T14:43:05.522757264Z
1,7,37,81.19336,18.62,2025-01-05T14:43:12.747393436Z
0,7,37,81.20215,18.61,2025-01-05T14:43:19.865234397Z
1,7,37,81.19141,18.61,2025-01-05T14:43:27.084417763Z
0,7,51,81.25684,18.6,2025-01-05T14:43:34.252128026Z
1,7,37,81.29004,18.6,2025-01-05T14:43:41.366430473Z
0,7,51,81.34375,18.59,2025-01-05T14:43:48.587462993Z
1,7,37,81.45508,18.59,2025-01-05T14:43:55.699342544Z
0,7,17,81.40723,18.58,2025-01-05T14:44:02.9247653Z
1,7,17,81.42969,18.58,2025-01-05T14:44:10.093694567Z
0,7,17,81.63086,18.58,2025-01-05T14:44:17.266353117Z
1,7,17,81.81055,18.58,2025-01-05T14:44:24.433184615Z
0,7,17,81.88086,18.6,2025-01-05T14:44:31.554326857Z
1,7,17,81.81836,18.63,2025-01-05T14:44:38.662336353Z
0,7,17,82.58008,18.65,2025-01-05T14:44:45.769602744Z
1,3,16,82.82422,18.7,2025-01-05T14:44:52.896718313Z
0,5,16,82.48047,18.71,2025-01-05T14:45:00.018250544Z
1,3,16,82.24316,18.69,2025-01-05T14:45:07.236298013Z
0,3,16,82.10938,18.69,2025-01-05T14:45:14.347203032Z
1,3,16,82.00879,18.7,2025-01-05T14:45:21.566892054Z
0,1,16,81.97754,18.7,2025-01-05T14:45:28.740668228Z
1,1,16,81.97559,18.7,2025-01-05T14:45:35.855933801Z
0,1,16,82.04395,18.7,2025-01-05T14:45:42.959123752Z
1,1,16,82.05371,18.69,2025-01-05T14:45:50.064932338Z
0,1,16,81.97559,18.69,2025-01-05T14:45:57.170933377Z
1,1,16,81.95313,18.7,2025-01-05T14:46:04.372485205Z
